Remote Data: Time (s),Remote Data: Force (N)
4.62,0.6145253879
4.64,0.5485360845
4.66,0.5485360845
4.68,0.4516142952
4.7,0.3196356884
4.72,0.1876570816
4.74,0.02474598878
4.76,0.02474598878
4.78,-0.008248662925
4.8,0.02474598878
4.82,-0.008248662925
4.84,0.02474598878
4.86,0.02474598878
4.88,0.02474598878
4.9,0.05774064048
4.92,0.05774064048
4.94,0.09073529218
4.96,0.1237299439
4.98,0.09073529218
5,0.1237299439
5.02,0.09073529218
5.04,0.05774064048
5.06,0.02474598878
5.08,0.02474598878
5.1,-0.008248662925
5.12,0.02474598878
5.14,-0.008248662925
5.16,0.02474598878
5.18,0.02474598878
5.2,0.02474598878
5.22,0.02474598878
5.24,0.02474598878
5.26,0.02474598878
5.28,0.02474598878
5.3,-0.008248662925
5.32,-0.008248662925
5.34,-0.008248662925
5.36,-0.008248662925
5.38,-0.008248662925
5.4,0.02474598878
5.42,0.02474598878
5.44,0.02474598878
5.46,-0.008248662925
5.48,0.02474598878
5.5,0.02474598878
5.52,0.02474598878
5.54,0.02474598878
5.56,0.02474598878
5.58,0.02474598878
5.6,0.02474598878
5.62,0.02474598878
5.64,-0.008248662925
5.66,-0.008248662925
5.68,-0.008248662925
5.7,-0.008248662925
5.72,0.02474598878
5.74,0.02474598878
5.76,0.02474598878
5.78,0.02474598878
5.8,0.02474598878
5.82,-0.008248662925
5.84,0.02474598878
5.86,0.02474598878
5.88,0.02474598878
5.9,-0.008248662925
5.92,-0.008248662925
5.94,-0.008248662925
5.96,-0.008248662925
5.98,-0.008248662925
6,0.02474598878
6.02,0.02474598878
6.04,0.02474598878
6.06,0.02474598878
6.08,0.02474598878
6.1,0.02474598878
6.12,-0.008248662925
6.14,0.02474598878
6.16,-0.008248662925
6.18,-0.008248662925
6.2,-0.008248662925
6.22,-0.008248662925
6.24,-0.008248662925
6.26,-0.008248662925
6.28,-0.008248662925
6.3,-0.008248662925
6.32,-0.008248662925
6.34,0.02474598878
6.36,0.02474598878
6.38,0.02474598878
6.4,0.02474598878
6.42,-0.008248662925
6.44,-0.008248662925
6.46,-0.008248662925
6.48,-0.008248662925
6.5,0.02474598878
6.52,0.02474598878
6.54,-0.008248662925
6.56,-0.008248662925
6.58,0.02474598878
6.6,-0.04124331463
6.62,-3.023134962
6.64,-12.59570829
6.66,-14.9238934
6.68,-14.82490944
6.7,-15.08680449
6.72,-14.53001974
6.74,-9.644749125
6.76,-8.302279234
6.78,-5.842115517
6.8,-5.580220469
6.82,-5.122419677
6.84,-4.367667019
6.86,-3.515992572
6.88,-2.598328821
6.9,-1.548686464
6.92,-0.499044107
6.94,0.05774064048
6.96,0.02474598878
6.98,0.02474598878
7,-0.008248662925
7.02,-0.008248662925
7.04,0.02474598878
7.06,0.02474598878
7.08,-0.008248662925
7.1,0.02474598878
7.12,-0.008248662925
7.14,0.02474598878
7.16,-0.008248662925
7.18,-0.1711597557
7.2,-0.4351169693
7.22,-0.6640173655
7.24,-0.6970120172
7.26,-0.499044107
7.28,-0.2371490591
7.3,-0.138165104
7.32,-0.04124331463
7.34,-0.008248662925
7.36,0.02474598878
7.38,-0.008248662925
7.4,-0.008248662925
7.42,-0.008248662925
7.44,-0.008248662925
7.46,0.02474598878
7.48,-0.008248662925
7.5,0.02474598878
7.52,-0.008248662925
7.54,-0.008248662925
7.56,0.02474598878
7.58,0.02474598878
7.6,-0.008248662925
7.62,0.02474598878
7.64,0.02474598878
7.66,-0.008248662925
7.68,0.02474598878
7.7,-0.008248662925
7.72,0.02474598878
7.74,-0.008248662925
7.76,0.02474598878
7.78,0.02474598878
7.8,0.02474598878
7.82,0.02474598878
7.84,0.02474598878
7.86,0.02474598878
7.88,0.02474598878
7.9,0.02474598878
7.92,0.02474598878
7.94,0.02474598878
7.96,0.02474598878
7.98,0.02474598878
8,-0.008248662925
8.02,0.02474598878
8.04,-0.008248662925
8.06,-0.008248662925
8.08,0.02474598878
8.1,-0.008248662925
8.12,0.02474598878
8.14,-0.008248662925
8.16,-0.008248662925
8.18,-0.008248662925
8.2,-0.008248662925
8.22,0.02474598878
8.24,-0.008248662925
8.26,-0.008248662925
8.28,-0.008248662925
8.3,0.02474598878
8.32,0.02474598878
8.34,-0.008248662925
8.36,0.02474598878
8.38,-0.008248662925
8.4,-0.008248662925
8.42,0.02474598878
8.44,-0.008248662925
8.46,0.02474598878
8.48,-0.008248662925
8.5,-0.008248662925
8.52,0.02474598878
8.54,0.02474598878
8.56,0.02474598878
8.58,-0.008248662925
8.6,0.02474598878
8.62,-0.008248662925
8.64,0.02474598878
8.66,0.02474598878
8.68,0.02474598878
8.7,0.02474598878
8.72,0.02474598878
8.74,0.02474598878
8.76,0.02474598878
8.78,0.02474598878
8.8,0.02474598878
8.82,0.02474598878
8.84,0.02474598878
8.86,0.05774064048
8.88,0.02474598878
8.9,0.05774064048
8.92,0.05774064048
8.94,0.05774064048
8.96,0.05774064048
8.98,0.09073529218
9,0.05774064048
9.02,0.05774064048
9.04,0.05774064048
9.06,0.05774064048
9.08,0.05774064048
9.1,0.09073529218
9.12,0.09073529218
9.14,0.09073529218
9.16,0.09073529218
9.18,0.09073529218
9.2,0.09073529218
9.22,0.05774064048
9.24,0.09073529218
9.26,0.09073529218
9.28,0.05774064048
9.3,0.05774064048
9.32,0.09073529218
9.34,0.09073529218
9.36,0.05774064048
9.38,0.09073529218
9.4,0.09073529218
9.42,0.09073529218
9.44,0.1567245956
9.46,0.1876570816
9.48,0.1876570816
9.5,0.09073529218
9.52,0.1567245956
9.54,0.09073529218
9.56,0.1237299439
9.58,0.09073529218
9.6,0.09073529218
9.62,0.09073529218
9.64,0.09073529218
9.66,0.09073529218
9.68,0.09073529218
9.7,0.09073529218
9.72,0.09073529218
9.74,0.09073529218
9.76,0.1237299439
9.78,0.09073529218
9.8,0.09073529218
9.82,0.09073529218
9.84,0.09073529218
9.86,0.09073529218
9.88,0.09073529218
9.9,0.09073529218
9.92,0.1237299439
9.94,0.09073529218
9.96,0.05774064048
9.98,0.05774064048
10,0.05774064048
